episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
181,-222.7839,2.1812,10.9209,0.64,16,9,25,4,21,-210.0163,17483.752
182,-195.7138,1.7363,8.6946,0.64,16,9,25,4,21,-192.7211,13830.4414
183,-196.9892,1.8082,9.0561,0.68,17,8,25,6,19,-200.0355,14807.5713
184,-231.0679,2.4826,12.4242,0.6667,16,8,24,5,19,-228.663,20408.791
185,-210.2884,2.1408,10.7154,0.6667,16,8,24,3,21,-201.3394,16572.6465
186,-200.5026,1.7607,8.8171,0.6,15,10,25,6,19,-193.8818,14767.3076
187,-200.2414,2.0137,10.0816,0.7083,17,7,24,2,22,-200.5494,15126.2109
188,-199.5901,2.0037,10.0312,0.7083,17,7,24,4,20,-202.1633,15135.9648
189,-193.8431,1.7052,8.5409,0.64,16,9,25,4,21,-193.0224,14132.7305
190,-244.1784,2.5396,12.7081,0.68,17,8,25,6,19,-247.3969,23274.3945
191,-221.783,2.1925,10.9749,0.68,17,8,25,5,20,-216.0308,18204.2598
192,-225.2083,2.1939,10.9844,0.6,15,10,25,3,22,-213.7473,18564.6445
193,-218.034,2.068,10.3551,0.6,15,10,25,7,18,-205.1693,17292.1074
194,-230.5567,2.3091,11.5601,0.64,16,9,25,3,22,-236.3191,20647.9043
195,-214.6801,2.1399,10.713,0.76,19,6,25,2,23,-217.2222,16657.7383
196,-200.5853,1.8641,9.3343,0.68,17,8,25,4,21,-207.8818,16063.5498
197,-231.4221,2.3035,11.5292,0.6,15,10,25,6,19,-223.9686,19175.3066
198,-242.6876,2.5092,12.5574,0.64,16,9,25,4,21,-241.6346,22093.7031
199,-212.7718,1.9763,9.8932,0.6,15,10,25,4,21,-209.9751,16624.9297
200,-228.6978,2.2988,11.5104,0.68,17,8,25,4,21,-219.1009,18525.875
201,-212.4754,2.048,10.2547,0.68,17,8,25,4,21,-207.2669,16844.3535
202,-225.9459,2.2073,11.0489,0.6,15,10,25,1,24,-227.5921,19286.6094
203,-206.1274,1.95,9.7632,0.68,17,8,25,6,19,-200.7902,15770.5176
204,-195.7153,1.677,8.397,0.6,15,10,25,5,20,-196.6083,14474.085
205,-213.9361,1.9963,9.9955,0.6,15,10,25,5,20,-208.2152,16566.7227
206,-206.2788,2.037,10.2012,0.625,15,9,24,6,18,-201.1062,15410.7295
207,-233.207,2.5094,12.5633,0.625,15,9,24,4,20,-232.8877,19883.0371
208,-219.9459,2.1015,10.5228,0.6,15,10,25,3,22,-209.5302,17234.0957
209,-236.154,2.4147,12.0873,0.68,17,8,25,5,20,-232.0261,20185.8223
210,-231.6664,2.3454,11.7399,0.68,17,8,25,5,20,-225.8333,19923.8711
211,-202.3283,2.0785,10.4051,0.75,18,6,24,4,20,-202.7541,15231.1406
212,-214.7414,2.26,11.3125,0.75,18,6,24,0,24,-221.8821,17702.7676
213,-186.2892,1.6427,8.2278,0.68,17,8,25,1,24,-192.7747,13678.9092
214,-219.1617,2.2636,11.331,0.625,15,9,24,3,21,-215.4431,17765.9023
215,-221.8602,2.3109,11.5677,0.625,15,9,24,3,21,-213.6508,18291.9473
216,-214.6494,2.1124,10.5748,0.72,18,7,25,3,22,-211.6116,17331.0938
217,-215.0631,2.3835,11.9306,0.6957,16,7,23,3,20,-210.0784,17673.6504
218,-223.9634,2.1725,10.8749,0.6,15,10,25,8,17,-220.2981,18059.9199
219,-216.3031,2.0747,10.3879,0.64,16,9,25,7,18,-204.6416,17139.6309
220,-210.5792,1.981,9.917,0.64,16,9,25,4,21,-204.1697,16235.9004
221,-236.9116,2.4381,12.202,0.72,18,7,25,4,21,-232.9214,20994.998
222,-215.7253,2.0277,10.1524,0.6,15,10,25,5,20,-209.5963,17038.3652
223,-204.9418,1.8876,9.4537,0.64,16,9,25,3,22,-200.9798,15614.3379
224,-170.9304,1.5601,7.8129,0.7083,17,7,24,1,23,-169.6742,11079.3408
225,-188.9044,1.8383,9.2041,0.7083,17,7,24,5,19,-191.1709,13424.5469
226,-217.1635,2.2538,11.2808,0.6667,16,8,24,9,15,-218.6873,17403.9629
227,-217.893,2.1009,10.5186,0.64,16,9,25,2,23,-212.4309,17174.0137
228,-186.601,1.751,8.7675,0.6667,16,8,24,6,18,-189.1819,13136.0117
229,-186.6977,1.7526,8.7755,0.6667,16,8,24,3,21,-185.3043,13469.8096
230,-212.2886,2.0092,10.0575,0.64,16,9,25,9,16,-207.8525,16770.8262
231,-201.4323,1.9947,9.9873,0.6667,16,8,24,3,21,-192.0391,14511.6221
232,-195.3418,1.8945,9.4864,0.6667,16,8,24,2,22,-186.3078,13514.2393
233,-217.749,2.0628,10.3301,0.6,15,10,25,3,22,-213.136,17314.0859
234,-160.5904,1.487,7.4511,0.6957,16,7,23,2,21,-167.2858,10247.2979
235,-211.9884,1.9621,9.8247,0.6,15,10,25,3,22,-206.1017,16323.1934
236,-236.6644,2.5777,12.9007,0.7083,17,7,24,6,18,-228.6988,19768.1562
237,-249.8708,2.7821,13.9229,0.7083,17,7,24,2,22,-232.4345,21982.7246
238,-226.5247,2.217,11.0998,0.6,15,10,25,1,24,-222.8304,19178.916
239,-230.8368,2.2925,11.4782,0.6,15,10,25,3,22,-224.1118,19519.1719
240,-197.8411,1.8897,9.4607,0.625,15,9,24,5,19,-192.7849,14592.6904
241,-214.5806,2.1833,10.9291,0.625,15,9,24,6,18,-206.8227,16960.6426
242,-197.9143,1.7722,8.8757,0.64,16,9,25,4,21,-193.9567,14095.1553
243,-195.92,1.7921,8.9731,0.68,17,8,25,5,20,-189.1647,13901.957
244,-245.611,2.5648,12.8382,0.72,18,7,25,3,22,-235.6122,21907.3047
245,-207.7057,1.9333,9.6809,0.64,16,9,25,3,22,-201.4284,15482.1504
246,-209.9121,1.8751,9.3915,0.56,14,11,25,8,17,-206.7147,15879.5898
247,-232.3289,2.3709,11.8671,0.72,18,7,25,2,23,-233.8567,18929.1797
248,-203.467,1.9487,9.7575,0.72,18,7,25,7,18,-196.4389,14842.6816
249,-191.1866,1.7188,8.6068,0.68,17,8,25,5,20,-185.5931,13218.874
250,-223.6363,2.2209,11.1184,0.68,17,8,25,4,21,-211.5265,17855.8926
251,-191.4469,1.7224,8.6271,0.68,17,8,25,3,22,-189.1527,13611.5527
252,-219.899,2.1338,10.6836,0.64,16,9,25,3,22,-210.8423,17167.8125
253,-221.6966,2.1323,10.6763,0.6,15,10,25,3,22,-210.2412,17407.5137
254,-225.2562,2.2461,11.2438,0.68,17,8,25,1,24,-221.0191,18157.8066
